tau	g_0_tau_up
17.5	(0.00036354226961500926-0.007552799078274251j)
17.5625	(-9.40524796869146e-06-0.007537251475981874j)
17.625	(0.0003611745685092528-0.0075051207680866235j)
17.6875	(-9.294745867191112e-06-0.007489850973517855j)
17.75	(0.0003588396394184122-0.007458111858979974j)
17.8125	(-9.18767390764184e-06-0.007443113924411961j)
17.875	(0.00035653673615300115-0.007411758755565212j)
17.9375	(-9.083984205943097e-06-0.007397026875694844j)
18.0	(0.000354265211948131-0.007366048194473875j)
18.0625	(-8.983545039804907e-06-0.007351576724840621j)
18.125	(0.00035202452271362785-0.007320967281161326j)
18.1875	(-8.886151012118225e-06-0.007306750756737258j)
18.25	(0.0003498142020993565-0.0072765035230030715j)
18.3125	(-8.791560086384353e-06-0.007262536668666634j)
18.375	(0.00034763381364497385-0.00723264484229311j)
18.4375	(-8.699546927084167e-06-0.007218922568193736j)
18.5	(0.0003454828956998442-0.007189379557313755j)
18.5625	(-8.609952816472123e-06-0.007175896937404922j)
18.625	(0.0003433609209338123-0.007146696331776075j)
18.6875	(-8.522710825166913e-06-0.0071334485714114795j)
18.75	(0.00034126728837672086-0.007104584107825371j)
18.8125	(-8.437834348516953e-06-0.0070915665120722254j)
18.875	(0.0003392013519203426-0.007063032046772523j)
18.9375	(-8.355373782511707e-06-0.007050240001129425j)
19.0	(0.0003371624723630866-0.007022029498545507j)
19.0625	(-8.27536059642823e-06-0.0070094584677985634j)
19.125	(0.0003351500701062305-0.006981566007130308j)
19.1875	(-8.197762194745188e-06-0.006969211549742194j)
19.25	(0.00033316365762071183-0.006941631343295241j)
19.3125	(-8.122463576031025e-06-0.006929489132813013j)
19.375	(0.0003312028419273573-0.0069022155464548264j)
19.4375	(-8.049278959053763e-06-0.006890281390427877j)
19.5	(0.00032926729988667935-0.006863308957737543j)
19.5625	(-7.977985899122698e-06-0.006851578807421026j)
19.625	(0.0003273567369244683-0.0068249022327573j)
19.6875	(-7.908369540752212e-06-0.006813372180695958j)
19.75	(0.0003254708421777594-0.006786986329908002j)
19.8125	(-7.84026405640896e-06-0.00677565259556033j)
19.875	(0.0003236092526652792-0.006749552475836022j)
19.9375	(-7.773579195041952e-06-0.006738411382059584j)
20.0	(0.0003217715377021955-0.006712592115156473j)
20.0625	(-7.708302200687802e-06-0.006701640061351086j)
20.125	(0.000319957210864969-0.006676096857504161j)
20.1875	(-7.644471446135179e-06-0.0066653302978324485j)
20.25	(0.0003181657682808591-0.0066400584391692555j)
20.3125	(-7.5821287317862e-06-0.006629473874109575j)
20.375	(0.0003163967404362588-0.006604468714116655j)
20.4375	(-7.52126811387672e-06-0.0065940626990865624j)
20.5	(0.0003146497363489707-0.0065693196782181116j)
20.5625	(-7.461803174646639e-06-0.006559088845384105j)
20.625	(0.0003129244603331813-0.006534603515265423j)
20.6875	(-7.403567540977549e-06-0.006524544598206326j)
20.75	(0.0003112206937145117-0.006500312642644604j)
20.8125	(-7.346348045862835e-06-0.0064904224922518764j)
20.875	(0.0003095382501576249-0.0064664397351776376j)
20.9375	(-7.289935186805766e-06-0.006456715319863899j)
21.0	(0.0003078769243160071-0.0064329777169348365j)
21.0625	(-7.234169626600152e-06-0.006423416107697195j)
21.125	(0.00030623645380314403-0.00639991972548496j)
21.1875	(-7.1789682653446846e-06-0.006390518072207537j)
21.25	(0.0003046165060280339-0.006367259062730947j)
21.3125	(-7.124323763820937e-06-0.006358014569860387j)
21.375	(0.00030301669089398647-0.006334989148121471j)
21.4375	(-7.070280725961437e-06-0.00632589905633623j)
21.5	(0.00030143659306675064-0.006303103486235312j)
21.5625	(-7.016896937120593e-06-0.0062941650642499465j)
21.625	(0.00029987581401265005-0.006271595655878627j)
21.6875	(-6.964200512620325e-06-0.006262806204293341j)
21.75	(0.0002983340119995031-0.006240459323308516j)
21.8125	(-6.912155589305306e-06-0.00623181618976757j)
21.875	(0.00029681092697947885-0.006209688276390275j)
21.9375	(-6.860649267038813e-06-0.006201188877578434j)
22.0	(0.0002953063793144327-0.006179276468641947j)
22.0625	(-6.809507615038526e-06-0.006170918310768107j)
22.125	(0.0002938202393416899-0.006149218055408943j)
22.1875	(-6.758537628163931e-06-0.006140998743746029j)
22.25	(0.00029235237751724366-0.006119507404549116j)
22.3125	(-6.707579358581836e-06-0.006111424636374453j)
22.375	(0.0002909026153340309-0.006090139073832433j)
22.4375	(-6.656546061929464e-06-0.0060821906166192855j)
22.5	(0.0002894706982038125-0.006061107762665639j)
22.5625	(-6.60543507023225e-06-0.006053291426484735j)
22.625	(0.0002880563012322942-0.006032408257954068j)
22.6875	(-6.554306237892011e-06-0.006024721873306963j)
22.75	(0.0002866590631854804-0.00600403539545148j)
22.8125	(-6.503239450901099e-06-0.005996476804275792j)
22.875	(0.00028527863232751037-0.005975984048864184j)
22.9375	(-6.4522898012790014e-06-0.00596855110984611j)
23.0	(0.0002839147058168773-0.005948249145895212j)
23.0625	(-6.4014563582988696e-06-0.0059409397497410706j)
23.125	(0.0002825670504747282-0.0059208257010571926j)
23.1875	(-6.3506724528802905e-06-0.005913637789296532j)
23.25	(0.00028123550107870925-0.005893708852450925j)
23.3125	(-6.29981788266825e-06-0.005886640433875057j)
23.375	(0.000279919938411245-0.00586689389134111j)
23.4375	(-6.24874881447867e-06-0.0058599430513876895j)
23.5	(0.00027862025301962244-0.005840376275698941j)
23.5625	(-6.197337667868813e-06-0.005833541175238909j)
23.625	(0.0002773363043379357-0.005814151621468313j)
23.6875	(-6.1455112803599984e-06-0.005807430483598084j)
23.75	(0.0002760678886311169-0.005788215670571448j)
23.8125	(-6.093272996120485e-06-0.0057816067581050005j)
23.875	(0.0002748147295655197-0.005762564243581705j)
23.9375	(-6.0406973260329795e-06-0.005756065834833141j)
24.0	(0.00027357649833937604-0.005737193193939956j)
24.0625	(-5.987896281869302e-06-0.005730803566719735j)
24.125	(0.0002723528573298345-0.00571209838289371j)
24.1875	(-5.934970205483201e-06-0.005705815813912735j)
24.25	(0.00027114350903431335-0.005687275686300984j)
24.3125	(-5.881964379941037e-06-0.00568109846605472j)
24.375	(0.0002699482287970142-0.005662721029490769j)
24.4375	(-5.8288501679454145e-06-0.005656647485287439j)
24.5	(0.00026876686798412634-0.00563843043319673j)
24.5625	(-5.775536948146934e-06-0.005632458949832974j)
24.625	(0.00026759932877394696-0.005614400050155014j)
24.6875	(-5.721907022820764e-06-0.00560852908014633j)
24.75	(0.00026644552340839467-0.005590626178828264j)
24.8125	(-5.6678577926619865e-06-0.005584854239713995j)
24.875	(0.0002653053341663948-0.00556710525206721j)
24.9375	(-5.613336347961868e-06-0.0055614309132754804j)
25.0	(0.00026417858626258763-0.0055438338071657975j)
25.0625	(-5.55835739705305e-06-0.005538255671212982j)
25.125	(0.00026306503970589573-0.005520808447116018j)
25.1875	(-5.503001112991662e-06-0.0055153251301505515j)
25.25	(0.0002619644014453008-0.0054980258030325035j)
25.3125	(-5.447391356825856e-06-0.005492635919698691j)
25.375	(0.00026087635546549574-0.005475482507703756j)
25.4375	(-5.391658904141741e-06-0.005470184665171696j)
25.5	(0.00025980060343135103-0.005453175189508622j)
25.5625	(-5.335900135125266e-06-0.0054479679939784115j)
25.625	(0.0002587369025420067-0.005431100491442421j)
25.6875	(-5.280146559612838e-06-0.005425982566101236j)
25.75	(0.00025768508474531093-0.005409255110420024j)
25.8125	(-5.224359409020628e-06-0.005404225118230799j)
25.875	(0.00025664504696258444-0.005387635841345337j)
25.9375	(-5.1684538007997285e-06-0.0053826925026151905j)
26.0	(0.0002556167148522147-0.005366239606036938j)
26.0625	(-5.112342839988862e-06-0.005361381702466333j)
26.125	(0.00025459999578417375-0.005345063453249973j)
26.1875	(-5.0559819999959794e-06-0.005340289816714696j)
26.25	(0.00025359474186163007-0.0053241045301599035j)
26.3125	(-4.999394775530731e-06-0.0053194140217441045j)
26.375	(0.00025260073764249566-0.005303360038848558j)
26.4375	(-4.942670987921442e-06-0.00529875152737647j)
26.5	(0.000251617714495808-0.005282827196137763j)
26.5625	(-4.885942021132586e-06-0.005278299543998693j)
26.625	(0.0002506453825068928-0.005262503210290855j)
26.6875	(-4.829344994918949e-06-0.005258055269905982j)
26.75	(0.000249683466899419-0.005242385279026013j)
26.8125	(-4.772988365376197e-06-0.00523801589923694j)
26.875	(0.0002487317380373221-0.005222470606149441j)
26.9375	(-4.716927986740931e-06-0.005218178645791494j)
27.0	(0.0002477900277224527-0.005202756430858536j)
27.0625	(-4.661159486388927e-06-0.00519854077591307j)
27.125	(0.00024685822713839964-0.005183240062018265j)
27.1875	(-4.605630348486923e-06-0.00517909964161089j)
27.25	(0.00024593626479867386-0.005163918907254731j)
27.3125	(-4.550270735889303e-06-0.005159852702587399j)
27.375	(0.0002450240689737737-0.005144790485073119j)
27.4375	(-4.495034488326884e-06-0.0051407975262310465j)
