tau	g_0_tau_up
52.5	(-0.39081991598812948485-1.1670140029350462127e-16j)
52.625	(-0.39076063176706810065-1.1194534999934112741e-16j)
52.75	(-0.39070200443366148724-1.110462509956102893e-16j)
52.875	(-0.3906440336895041776-1.1151088165440377516e-16j)
53.0	(-0.3905867192396331733-1.1280968425628758688e-16j)
53.125	(-0.39053006079252339244-1.096679794979172831e-16j)
53.25	(-0.39047405806008189666-1.0574321924958998036e-16j)
53.375	(-0.39041871075764350563-1.0858470376771783806e-16j)
53.5	(-0.39036401860396541252-1.0541582116314149201e-16j)
53.625	(-0.39030998132122418642-1.04388274245170969545e-16j)
53.75	(-0.3902565986350092775-1.0188715138805153125e-16j)
53.875	(-0.3902038702743192422-9.7518128976334248403e-17j)
54.0	(-0.39015179597155813518-9.508189678390837002e-17j)
54.125	(-0.39010037546252862573-9.2953954805781005056e-17j)
54.25	(-0.39004960848642977744-9.047966899645523719e-17j)
54.375	(-0.38999949478585294038-8.550241737160526288e-17j)
54.5	(-0.3899500341067750897-8.250407624828019965e-17j)
54.625	(-0.38990122619855671626-8.258324074162397461e-17j)
54.75	(-0.3898530708139373857-8.145403332637068505e-17j)
54.875	(-0.38980556770903146413-7.76463952353359906e-17j)
55.0	(-0.3897587166433224004-7.662391066271429267e-17j)
55.125	(-0.38971251737966200457-7.515042405907153256e-17j)
55.25	(-0.38966696968426384196-7.311994380943761553e-17j)
55.375	(-0.38962207332670134585-7.01080799374585354e-17j)
55.5	(-0.38957782807990126717-7.0801700659586301015e-17j)
55.625	(-0.3895342337201430638-6.9554864852505520704e-17j)
55.75	(-0.38949129002705284996-6.925651073172499426e-17j)
55.875	(-0.3894489967836013422-6.4740753096785704727e-17j)
56.0	(-0.38940735377609925205-6.1964635699384237487e-17j)
56.125	(-0.38936636079419395529-6.0320634084269796255e-17j)
56.25	(-0.38932601763086682745-5.801447438880665637e-17j)
56.375	(-0.38928632408242858087-5.963533810782676431e-17j)
56.5	(-0.38924727994851637813-5.7579413782550716147e-17j)
56.625	(-0.38920888503209133402-5.4283211538090208074e-17j)
56.75	(-0.3891711391394337416-5.225261879189298383e-17j)
